"Date","SUUR0000SAN"
1999-12-01,100
2000-01-01,100.2
2000-02-01,101.4
2000-03-01,103.1
2000-04-01,103
2000-05-01,102.9
2000-06-01,103.2
2000-07-01,103
2000-08-01,102.5
2000-09-01,104
2000-10-01,104.1
2000-11-01,103.9
2000-12-01,103
2001-01-01,103.1
2001-02-01,103.6
2001-03-01,103.7
2001-04-01,104.7
2001-05-01,105.7
2001-06-01,105
2001-07-01,103.3
2001-08-01,103
2001-09-01,104.7
2001-10-01,103.9
2001-11-01,102.6
2001-12-01,100.9
2002-01-01,101.2
2002-02-01,101.7
2002-03-01,103.1
2002-04-01,104.8
2002-05-01,104.3
2002-06-01,103.6
2002-07-01,103.4
2002-08-01,103.6
2002-09-01,104.3
2002-10-01,104.7
2002-11-01,104.5
2002-12-01,103.6
2003-01-01,104.1
2003-02-01,106
2003-03-01,107.2
2003-04-01,106.4
2003-05-01,105.4
2003-06-01,105.1
2003-07-01,105
2003-08-01,106.1
2003-09-01,107.5
2003-10-01,107.1
2003-11-01,106.4
2003-12-01,105.8
2004-01-01,106.6
2004-02-01,107.7
2004-03-01,109
2004-04-01,109.6
2004-05-01,111.1
2004-06-01,110.9
2004-07-01,109.8
2004-08-01,109.6
2004-09-01,110.1
2004-10-01,112
2004-11-01,111.7
2004-12-01,110.2
2005-01-01,109.8
2005-02-01,111
2005-03-01,112.6
2005-04-01,114.5
2005-05-01,113.9
2005-06-01,113
2005-07-01,114
2005-08-01,115.8
2005-09-01,119.8
2005-10-01,119.4
2005-11-01,116.3
2005-12-01,114.8
2006-01-01,115.9
2006-02-01,116.1
2006-03-01,117.5
2006-04-01,120.2
2006-05-01,121.5
2006-06-01,121
2006-07-01,121.2
2006-08-01,121.6
2006-09-01,119.7
2006-10-01,117.8
2006-11-01,117.2
2006-12-01,117.4
2007-01-01,117.374
2007-02-01,118.225
2007-03-01,121.066
2007-04-01,123.137
2007-05-01,125.042
2007-06-01,124.293
2007-07-01,123.424
2007-08-01,122.8
2007-09-01,123.868
2007-10-01,124.535
2007-11-01,126.429
2007-12-01,125.732
2008-01-01,126.441
2008-02-01,126.912
2008-03-01,129.353
2008-04-01,131.463
2008-05-01,134.128
2008-06-01,136.166
2008-07-01,136.745
2008-08-01,135.301
2008-09-01,135.724
2008-10-01,132.636
2008-11-01,125.462
2008-12-01,120.876
2009-01-01,121.816
2009-02-01,123.282
2009-03-01,123.915
2009-04-01,125.029
2009-05-01,126.248
2009-06-01,128.755
2009-07-01,127.723
2009-08-01,128.684
2009-09-01,128.939
2009-10-01,129.037
2009-11-01,129.443
2009-12-01,128.755
2010-01-01,129.747
2010-02-01,129.461
2010-03-01,130.727
2010-04-01,131.254
2010-05-01,131.263
2010-06-01,129.809
2010-07-01,129.38
2010-08-01,129.892
2010-09-01,130.375
2010-10-01,131.323
2010-11-01,131.455
2010-12-01,132.078
2011-01-01,133.537
2011-02-01,134.726
2011-03-01,138.522
2011-04-01,140.723
2011-05-01,141.726
2011-06-01,139.972
2011-07-01,139.6
2011-08-01,140.221
2011-09-01,141.01
2011-10-01,140.274
2011-11-01,139.772
2011-12-01,138.305
2012-01-01,139.637
2012-02-01,141.102
2012-03-01,143.779
2012-04-01,144.486
2012-05-01,143.313
2012-06-01,141.304
2012-07-01,140.264
2012-08-01,142.661
2012-09-01,144.431
2012-10-01,144.196
2012-11-01,141.758
2012-12-01,139.983
2013-01-01,140.315
2013-02-01,143.123
2013-03-01,143.85
2013-04-01,142.995
2013-05-01,142.903
2013-06-01,142.845
2013-07-01,142.513
2013-08-01,142.725
2013-09-01,143.027
2013-10-01,141.927
2013-11-01,140.809
2013-12-01,140.41
2014-01-01,141.022
2014-02-01,141.969
2014-03-01,143.674
2014-04-01,144.79
2014-05-01,145.166
2014-06-01,144.974
2014-07-01,144.442
2014-08-01,143.654
2014-09-01,144.032
2014-10-01,142.921
2014-11-01,140.54
2014-12-01,137.56
2015-01-01,133.98
2015-02-01,135.578
2015-03-01,138.03
2015-04-01,137.889
2015-05-01,139.931
2015-06-01,140.149
2015-07-01,139.827
2015-08-01,139.098
2015-09-01,137.681
2015-10-01,137.254
2015-11-01,135.895
2015-12-01,133.948
2016-01-01,133.378
2016-02-01,132.276
2016-03-01,133.855
2016-04-01,135.392
2016-05-01,136.264
2016-06-01,136.663
2016-07-01,135.254
2016-08-01,135.076
2016-09-01,136.126
2016-10-01,136.821
2016-11-01,135.695
2016-12-01,135.191
2017-01-01,136.537
2017-02-01,136.699
2017-03-01,137.173
2017-04-01,137.977
2017-05-01,137.504
2017-06-01,136.834
2017-07-01,136.317
2017-08-01,137.259
2017-09-01,139.895
2017-10-01,139.171
2017-11-01,138.897
2017-12-01,137.765
2018-01-01,138.996
2018-02-01,139.819
2018-03-01,140.101
2018-04-01,141.518
2018-05-01,142.396
2018-06-01,142.116
2018-07-01,141.515
2018-08-01,141.4
2018-09-01,142.279
2018-10-01,142.617
2018-11-01,140.741
2018-12-01,138.29
2019-01-01,138.185
2019-02-01,139.326
2019-03-01,141.11
2019-04-01,142.826
2019-05-01,143.292
2019-06-01,142.065
2019-07-01,142.075
2019-08-01,141.55
2019-09-01,141.839
2019-10-01,142.282
2019-11-01,141.63
2019-12-01,140.738
2020-01-01,141.37
2020-02-01,141.441
2020-03-01,140.437
2020-04-01,138.785
2020-05-01,139.012
2020-06-01,140.933
2020-07-01,141.346
2020-08-01,141.726
2020-09-01,141.954
2020-10-01,141.755
2020-11-01,140.695
2020-12-01,140.975
2021-01-01,142.947
2021-02-01,144.352
2021-03-01,146.48
2021-04-01,147.371
2021-05-01,148.454
2021-06-01,149.273
2021-07-01,150.354
2021-08-01,151.083
2021-09-01,152.327
2021-10-01,154.28
2021-11-01,154.991
2021-12-01,154.814
2022-01-01,156.506
2022-02-01,159.489
2022-03-01,166.099
2022-04-01,166.679
2022-05-01,170.229
2022-06-01,174.217
2022-07-01,172.545
2022-08-01,170.199
2022-09-01,170.013
2022-10-01,171.531
2022-11-01,170.474
2022-12-01,167.258
2023-01-01,169.306
2023-02-01,170.743
2023-03-01,171.334
2023-04-01,172.544
2023-05-01,172.479
2023-06-01,172.54
2023-07-01,172.671
2023-08-01,174.618
2023-09-01,175.37
2023-10-01,174.447
2023-11-01,171.814
