"Date","CUURA101SAM"
1947-01-01,14
1947-02-01,14.1
1947-03-01,14.1
1947-04-01,14.1
1947-05-01,14.2
1947-06-01,14.3
1947-07-01,14.3
1947-08-01,14.3
1947-09-01,14.4
1947-10-01,14.5
1947-11-01,14.5
1947-12-01,14.5
1948-01-01,14.8
1948-02-01,14.9
1948-03-01,15
1948-04-01,15.6
1948-05-01,15.6
1948-06-01,15.6
1948-07-01,16
1948-08-01,16
1948-09-01,16.1
1948-10-01,16.1
1948-11-01,16.1
1948-12-01,16.1
1949-01-01,16.2
1949-02-01,16.2
1949-03-01,16
1949-04-01,16
1949-05-01,16
1949-06-01,16
1949-07-01,16
1949-08-01,16
1949-09-01,16
1949-10-01,16
1949-11-01,16
1949-12-01,16.2
1950-01-01,16.3
1950-02-01,16.3
1950-03-01,16.3
1950-04-01,16.3
1950-05-01,16.3
1950-06-01,16.4
1950-07-01,16.4
1950-08-01,16.4
1950-09-01,16.3
1950-10-01,16.4
1950-11-01,16.4
1950-12-01,16.4
1951-01-01,16.6
1951-02-01,16.6
1951-03-01,16.9
1951-04-01,17
1951-05-01,17
1951-06-01,17
1951-07-01,17
1951-08-01,17
1951-09-01,17.2
1951-10-01,17.2
1951-11-01,17.2
1951-12-01,17.4
1952-01-01,17.6
1952-02-01,17.6
1952-03-01,17.6
1952-04-01,17.6
1952-05-01,17.6
1952-06-01,18.3
1952-07-01,18.3
1952-08-01,18.4
1952-09-01,18.6
1952-10-01,18.6
1952-11-01,18.7
1952-12-01,18.6
1953-01-01,18.6
1953-02-01,18.5
1953-03-01,18.5
1953-04-01,18.5
1953-05-01,18.5
1953-06-01,18.5
1953-07-01,18.5
1953-08-01,18.6
1953-09-01,18.6
1953-10-01,18.6
1953-11-01,18.9
1953-12-01,18.9
1954-01-01,18.9
1954-02-01,18.9
1954-03-01,18.9
1954-04-01,19
1954-05-01,19
1954-06-01,19
1954-07-01,19
1954-08-01,19
1954-09-01,19
1954-10-01,19
1954-11-01,19.1
1954-12-01,19.1
1955-01-01,19.1
1955-02-01,19.2
1955-03-01,19.2
1955-04-01,19.2
1955-05-01,19.3
1955-06-01,19.3
1955-07-01,19.4
1955-08-01,19.4
1955-09-01,19.4
1955-10-01,19.4
1955-11-01,19.4
1955-12-01,19.4
1956-01-01,19.4
1956-02-01,19.4
1956-03-01,19.4
1956-04-01,19.4
1956-05-01,19.4
1956-06-01,19.4
1956-07-01,19.4
1956-08-01,19.6
1956-09-01,19.6
1956-10-01,19.6
1956-11-01,19.6
1956-12-01,19.6
1957-01-01,19.7
1957-02-01,19.7
1957-03-01,19.7
1957-04-01,19.7
1957-05-01,19.8
1957-06-01,19.9
1957-07-01,19.9
1957-08-01,19.8
1957-09-01,19.8
1957-10-01,19.8
1957-11-01,19.9
1957-12-01,19.9
1958-01-01,19.9
1958-02-01,19.9
1958-03-01,20
1958-04-01,20
1958-05-01,20
1958-06-01,20
1958-07-01,20
1958-08-01,20.1
1958-09-01,20.7
1958-10-01,20.7
1958-11-01,20.8
1958-12-01,20.8
1959-01-01,20.8
1959-02-01,21.1
1959-03-01,21.1
1959-04-01,21.1
1959-05-01,21.4
1959-06-01,21.5
1959-07-01,21.5
1959-08-01,21.4
1959-09-01,22
1959-10-01,22
1959-11-01,22
1959-12-01,22
1960-01-01,22
1960-02-01,22
1960-03-01,22.1
1960-04-01,22.1
1960-05-01,22.1
1960-06-01,22.1
1960-07-01,22.1
1960-08-01,22.1
1960-09-01,22.1
1960-10-01,22.1
1960-11-01,22.7
1960-12-01,22.7
1961-01-01,22.7
1961-02-01,22.7
1961-03-01,22.8
1961-04-01,22.8
1961-05-01,23
1961-06-01,23
1961-07-01,23
1961-08-01,23.1
1961-09-01,23.1
1961-10-01,23.1
1961-11-01,23.1
1961-12-01,23.1
1962-01-01,23.1
1962-02-01,23.3
1962-03-01,23.4
1962-04-01,23.4
1962-05-01,23.5
1962-06-01,23.5
1962-07-01,23.5
1962-08-01,23.6
1962-09-01,23.6
1962-10-01,23.5
1962-11-01,23.6
1962-12-01,23.7
1963-01-01,23.7
1963-02-01,23.9
1963-03-01,23.9
1963-04-01,23.9
1963-05-01,24
1963-06-01,23.9
1963-07-01,23.9
1963-08-01,24
1963-09-01,24
1963-10-01,24
1963-11-01,24.1
1963-12-01,24.1
1964-01-01,24.2
1964-02-01,24.3
1964-03-01,24.3
1964-04-01,24.4
1964-05-01,24.4
1964-06-01,24.4
1964-07-01,24.4
1964-08-01,24.6
1964-09-01,24.4
1964-10-01,24.5
1964-11-01,24.7
1964-12-01,24.7
1965-01-01,24.9
1965-02-01,25.1
1965-03-01,25.2
1965-04-01,25.2
1965-05-01,25.2
1965-06-01,25.4
1965-07-01,25.4
1965-08-01,25.3
1965-09-01,25.3
1965-10-01,25.3
1965-11-01,25.4
1965-12-01,25.6
1966-01-01,25.7
1966-02-01,25.8
1966-03-01,26
1966-04-01,26.1
1966-05-01,26.3
1966-06-01,26.7
1966-07-01,26.8
1966-08-01,27
1966-09-01,27
1966-10-01,27.2
1966-11-01,27.3
1966-12-01,27.3
1967-01-01,27.6
1967-02-01,27.8
1967-03-01,27.9
1967-04-01,28
1967-05-01,28.1
1967-06-01,28.3
1967-07-01,28.5
1967-08-01,28.7
1967-09-01,28.8
1967-10-01,28.9
1967-11-01,28.9
1967-12-01,29.2
1968-01-01,29.3
1968-02-01,29.4
1968-03-01,29.6
1968-04-01,29.8
1968-05-01,29.8
1968-06-01,30.1
1968-07-01,30.5
1968-08-01,30.5
1968-09-01,30.8
1968-10-01,31
1968-11-01,31.1
1968-12-01,31.2
1969-01-01,31.9
1969-02-01,32
1969-03-01,32.5
1969-04-01,32.8
1969-05-01,33
1969-06-01,33.4
1969-07-01,33.4
1969-08-01,33.6
1969-09-01,33.6
1969-10-01,33.5
1969-11-01,33.6
1969-12-01,33.8
1970-01-01,34
1970-02-01,34.1
1970-03-01,34.6
1970-04-01,34.9
1970-05-01,34.9
1970-06-01,35.6
1970-07-01,35.9
1970-08-01,36.1
1970-09-01,36.4
1970-10-01,36.5
1970-11-01,36.8
1970-12-01,37.3
1971-01-01,37.6
1971-02-01,37.8
1971-03-01,38.2
1971-04-01,38.2
1971-05-01,38.4
1971-06-01,38.5
1971-07-01,38.8
1971-08-01,39
1971-09-01,39
1971-10-01,38.9
1971-11-01,39
1971-12-01,39.1
1972-01-01,39.4
1972-02-01,39.4
1972-03-01,39.4
1972-04-01,39.5
1972-05-01,39.6
1972-06-01,39.8
1972-07-01,39.8
1972-08-01,39.9
1972-09-01,39.9
1972-10-01,40.1
1972-11-01,40.3
1972-12-01,40.6
1973-01-01,40.7
1973-02-01,40.7
1973-03-01,40.6
1973-04-01,40.6
1973-05-01,40.9
1973-06-01,41
1973-07-01,41
1973-08-01,41.1
1973-09-01,41.3
1973-10-01,42
1973-11-01,42.1
1973-12-01,42.3
1974-01-01,42.8
1974-02-01,43.2
1974-03-01,43.8
1974-04-01,44.1
1974-05-01,44.7
1974-06-01,45.4
1974-07-01,45.7
1974-08-01,46.9
1974-09-01,47.4
1974-10-01,47.5
1974-11-01,47.8
1974-12-01,48.2
1975-01-01,48.9
1975-02-01,49.6
1975-03-01,50.3
1975-04-01,50.6
1975-05-01,51
1975-06-01,51.3
1975-07-01,51.7
1975-08-01,51.9
1975-09-01,52.6
1975-10-01,52.8
1975-11-01,52.6
1975-12-01,53.4
1976-01-01,54.5
1976-02-01,55
1976-03-01,55.5
1976-04-01,55.7
1976-05-01,55.9
1976-06-01,56.5
1976-07-01,57.1
1976-08-01,57.5
1976-09-01,57.9
1976-10-01,57.9
1976-11-01,58.8
1976-12-01,58.9
1977-01-01,59.7
1977-02-01,59.9
1977-03-01,60.7
1977-04-01,61.2
1977-05-01,61.4
1977-06-01,61.7
1977-07-01,62
1977-08-01,62.2
1977-09-01,62.3
1977-10-01,62.6
1977-11-01,62.8
1977-12-01,63.3
1978-01-01,64.1
1978-02-01,64.5
1978-03-01,64.6
1978-04-01,64.8
1978-05-01,65.5
1978-06-01,65.5
1978-07-01,65.5
1978-08-01,65.5
1978-09-01,65.7
1978-10-01,65.7
1978-11-01,66.7
1978-12-01,66.3
1979-01-01,68.1
1979-02-01,69
1979-03-01,69.2
1979-04-01,69.7
1979-05-01,69.8
1979-06-01,70.1
1979-07-01,70.2
1979-08-01,70.5
1979-09-01,71.1
1979-10-01,72.2
1979-11-01,73
1979-12-01,73.5
1980-01-01,74.5
1980-02-01,75.4
1980-03-01,76.2
1980-04-01,76.9
1980-05-01,76.9
1980-06-01,77
1980-07-01,77.2
1980-08-01,77.8
1980-09-01,78.3
1980-10-01,78.7
1980-11-01,79
1980-12-01,79.3
1981-01-01,80.2
1981-02-01,80.6
1981-03-01,81.6
1981-04-01,82.5
1981-05-01,82.7
1981-06-01,84.1
1981-07-01,85
1981-08-01,85.2
1981-09-01,86.2
1981-10-01,87.2
1981-11-01,87.7
1981-12-01,88.1
1982-01-01,89.1
1982-02-01,89.9
1982-03-01,90.7
1982-04-01,90.9
1982-05-01,91.2
1982-06-01,91.6
1982-07-01,91.5
1982-08-01,91.9
1982-09-01,92.8
1982-10-01,93.3
1982-11-01,94.1
1982-12-01,94.4
1983-01-01,95.4
1983-02-01,97.3
1983-03-01,98.1
1983-04-01,98.7
1983-05-01,99.4
1983-06-01,99.4
1983-07-01,100
1983-08-01,101.2
1983-09-01,101.7
1983-10-01,102.3
1983-11-01,103.2
1983-12-01,103.9
1984-01-01,104.7
1984-02-01,106.1
1984-03-01,106.7
1984-04-01,106.7
1984-05-01,107.3
1984-06-01,107.2
1984-07-01,107.7
1984-08-01,109
1984-09-01,109.8
1984-10-01,110.1
1984-11-01,110.8
1984-12-01,111.4
1985-01-01,112
1985-02-01,113.8
1985-03-01,114.3
1985-04-01,114.6
1985-05-01,115.4
1985-06-01,116.2
1985-07-01,116.7
1985-08-01,116.8
1985-09-01,117.2
1985-10-01,117.5
1985-11-01,117.8
1985-12-01,117.7
1986-01-01,120
1986-02-01,122.2
1986-03-01,123.7
1986-04-01,124.2
1986-05-01,124.6
1986-06-01,125.1
1986-07-01,126
1986-08-01,126.4
1986-09-01,127.8
1986-10-01,128.7
1986-11-01,128.7
1986-12-01,130.3
1987-01-01,131.1
1987-02-01,132.9
1987-03-01,135
1987-04-01,136.1
1987-05-01,136.1
1987-06-01,136.3
1987-07-01,136.8
1987-08-01,137.2
1987-09-01,137.2
1987-10-01,137.5
1987-11-01,137.9
1987-12-01,138.5
1988-01-01,139.7
1988-02-01,141.3
1988-03-01,142.7
1988-04-01,143.2
1988-05-01,144.1
1988-06-01,144.7
1988-07-01,146.1
1988-08-01,145.9
1988-09-01,146.9
1988-10-01,147.1
1988-11-01,147.6
1988-12-01,147.9
1989-01-01,149.5
1989-02-01,151.1
1989-03-01,152.9
1989-04-01,153.4
1989-05-01,154.3
1989-06-01,155.6
1989-07-01,156.2
1989-08-01,157.1
1989-09-01,157.7
1989-10-01,159.7
1989-11-01,160.5
1989-12-01,161.5
1990-01-01,163.9
1990-02-01,166.7
1990-03-01,169.2
1990-04-01,170.1
1990-05-01,170.5
1990-06-01,171.4
1990-07-01,171.8
1990-08-01,175.1
1990-09-01,175.9
1990-10-01,177.5
1990-11-01,178
1990-12-01,178.7
1991-01-01,180.8
1991-02-01,182.8
1991-03-01,183.9
1991-04-01,184.2
1991-05-01,183.9
1991-06-01,185.3
1991-07-01,187.2
1991-08-01,188.7
1991-09-01,189.3
1991-10-01,189.6
1991-11-01,191
1991-12-01,192
1992-01-01,195.1
1992-02-01,196.4
1992-03-01,197.7
1992-04-01,198.4
1992-05-01,199.1
1992-06-01,200
1992-07-01,201.2
1992-08-01,200.8
1992-09-01,201.9
1992-10-01,202.8
1992-11-01,203.1
1992-12-01,203.3
1993-01-01,205.1
1993-02-01,205.5
1993-03-01,206.6
1993-04-01,207.9
1993-05-01,208.9
1993-06-01,208.9
1993-07-01,209.5
1993-08-01,210.7
1993-09-01,211
1993-10-01,211.3
1993-11-01,211.4
1993-12-01,212
1994-01-01,213.5
1994-02-01,214.2
1994-03-01,215.1
1994-04-01,215.8
1994-05-01,216.5
1994-06-01,217.7
1994-07-01,218.2
1994-08-01,218.7
1994-09-01,218.6
1994-10-01,220.6
1994-11-01,220.6
1994-12-01,221.7
1995-01-01,223.2
1995-02-01,225.1
1995-03-01,225.3
1995-04-01,225.6
1995-05-01,226
1995-06-01,226
1995-07-01,226.2
1995-08-01,227.4
1995-09-01,228
1995-10-01,229.5
1995-11-01,229.6
1995-12-01,230
1996-01-01,231.1
1996-02-01,231.6
1996-03-01,232.6
1996-04-01,232.8
1996-05-01,234.1
1996-06-01,234
1996-07-01,235
1996-08-01,237.4
1996-09-01,237.6
1996-10-01,239.2
1996-11-01,239.6
1996-12-01,239.3
1997-01-01,242.6
1997-02-01,243.1
1997-03-01,243.6
1997-04-01,243.4
1997-05-01,243.5
1997-06-01,244.1
1997-07-01,244.4
1997-08-01,244.7
1997-09-01,245.4
1997-10-01,246.1
1997-11-01,246.5
1997-12-01,246.9
1998-01-01,249.2
1998-02-01,250.6
1998-03-01,250.9
1998-04-01,254.9
1998-05-01,255
1998-06-01,254.9
1998-07-01,254.9
1998-08-01,256.9
1998-09-01,257.7
1998-10-01,258.1
1998-11-01,257.5
1998-12-01,258.8
1999-01-01,262.8
1999-02-01,262.6
1999-03-01,263.7
1999-04-01,263.9
1999-05-01,264
1999-06-01,264.9
1999-07-01,265.8
1999-08-01,266.3
1999-09-01,266.6
1999-10-01,266.8
1999-11-01,267.3
1999-12-01,268.3
2000-01-01,269.5
2000-02-01,271.3
2000-03-01,272.4
2000-04-01,272.7
2000-05-01,274.2
2000-06-01,275.4
2000-07-01,275.7
2000-08-01,276
2000-09-01,276.9
2000-10-01,278.2
2000-11-01,279.1
2000-12-01,279.6
2001-01-01,281
2001-02-01,283.5
2001-03-01,283.8
2001-04-01,286.1
2001-05-01,287.4
2001-06-01,288.2
2001-07-01,288.2
2001-08-01,289
2001-09-01,288.8
2001-10-01,289.6
2001-11-01,289.6
2001-12-01,290
2002-01-01,294
2002-02-01,296.4
2002-03-01,296.9
2002-04-01,298.2
2002-05-01,298.7
2002-06-01,299.2
2002-07-01,301.4
2002-08-01,301.3
2002-09-01,301.8
2002-10-01,301.8
2002-11-01,303.5
2002-12-01,303.6
2003-01-01,305.4
2003-02-01,305
2003-03-01,303.3
2003-04-01,305.8
2003-05-01,307.4
2003-06-01,308.4
2003-07-01,310.7
2003-08-01,309.9
2003-09-01,311
2003-10-01,309.6
2003-11-01,310.9
2003-12-01,313
2004-01-01,313.1
2004-02-01,314.5
2004-03-01,317.2
2004-04-01,317.1
2004-05-01,317.2
2004-06-01,318.1
2004-07-01,319.9
2004-08-01,319.2
2004-09-01,319.7
2004-10-01,320.9
2004-11-01,320.8
2004-12-01,322.2
2005-01-01,324.2
2005-02-01,325
2005-03-01,326.2
2005-04-01,325.9
2005-05-01,325.9
2005-06-01,327.4
2005-07-01,327.7
2005-08-01,327.6
2005-09-01,329.2
2005-10-01,330.3
2005-11-01,331.4
2005-12-01,332.8
2006-01-01,333
2006-02-01,336.9
2006-03-01,338.6
2006-04-01,339.9
2006-05-01,340.5
2006-06-01,341.2
2006-07-01,342.1
2006-08-01,343.1
2006-09-01,343
2006-10-01,344.3
2006-11-01,344.4
2006-12-01,345
2007-01-01,350.56
2007-02-01,354.38
2007-03-01,357.692
2007-04-01,359.256
2007-05-01,359.861
2007-06-01,359.81
2007-07-01,361.982
2007-08-01,362.329
2007-09-01,362.346
2007-10-01,363.141
2007-11-01,363.174
2007-12-01,363.978
2008-01-01,368.031
2008-02-01,366.619
2008-03-01,366.596
2008-04-01,365.956
2008-05-01,369.871
2008-06-01,368.419
2008-07-01,369.528
2008-08-01,369.816
2008-09-01,368.93
2008-10-01,367.629
2008-11-01,367.298
2008-12-01,367.657
2009-01-01,369.972
2009-02-01,371.722
2009-03-01,370.132
2009-04-01,369.63
2009-05-01,369.782
2009-06-01,370.231
2009-07-01,369.953
2009-08-01,370.817
2009-09-01,372.519
2009-10-01,374.115
2009-11-01,373.34
2009-12-01,371.91
2010-01-01,376.695
2010-02-01,378.015
2010-03-01,380.518
2010-04-01,381.018
2010-05-01,380.781
2010-06-01,380.333
2010-07-01,380.832
2010-08-01,380.956
2010-09-01,381.757
2010-10-01,382.141
2010-11-01,382.937
2010-12-01,384.098
2011-01-01,386.635
2011-02-01,388.192
2011-03-01,390.308
2011-04-01,391.303
2011-05-01,391.113
2011-06-01,391.602
2011-07-01,391.951
2011-08-01,393.55
2011-09-01,395.266
2011-10-01,395.287
2011-11-01,396.753
2011-12-01,399.502
2012-01-01,407.792
2012-02-01,408.337
2012-03-01,409.317
2012-04-01,410.02
2012-05-01,412.765
2012-06-01,412.349
2012-07-01,413.555
2012-08-01,414.055
2012-09-01,414.17
2012-10-01,413.925
2012-11-01,415.741
2012-12-01,414.838
2013-01-01,417.173
2013-02-01,423.298
2013-03-01,423.763
2013-04-01,424.875
2013-05-01,424.325
2013-06-01,426.585
2013-07-01,426.445
2013-08-01,427.025
2013-09-01,429.941
2013-10-01,426.844
2013-11-01,426.429
2013-12-01,427.35
2014-01-01,428.633
2014-02-01,431.317
2014-03-01,433.186
2014-04-01,433.955
2014-05-01,437.85
2014-06-01,438.738
2014-07-01,439.665
2014-08-01,438.499
2014-09-01,439.646
2014-10-01,438.668
2014-11-01,440.672
2014-12-01,442.695
2015-01-01,445.916
2015-02-01,447.319
2015-03-01,449.783
2015-04-01,450.538
2015-05-01,450.812
2015-06-01,444.312
2015-07-01,445.132
2015-08-01,447.186
2015-09-01,445.282
2015-10-01,452.809
2015-11-01,448.44
2015-12-01,445.724
2016-01-01,451.773
2016-02-01,457.224
2016-03-01,457.077
2016-04-01,458.62
2016-05-01,461.408
2016-06-01,463.213
2016-07-01,468.743
2016-08-01,469.394
2016-09-01,471.327
2016-10-01,470.983
2016-11-01,470.574
2016-12-01,470.698
2017-01-01,474.449
2017-02-01,474.262
2017-03-01,476.228
2017-04-01,471.473
2017-05-01,474.273
2017-06-01,475.291
2017-07-01,476.764
2017-08-01,476.319
2017-09-01,476.539
2017-10-01,479.874
2017-11-01,480.607
2017-12-01,481.152
2018-01-01,483.364
2018-02-01,484.758
2018-03-01,485.756
2018-04-01,486.757
2018-05-01,484.483
2018-06-01,485.04
2018-07-01,484.915
2018-08-01,484.875
2018-09-01,491.881
2018-10-01,494.226
2018-11-01,496.557
2018-12-01,497.055
2019-01-01,501.396
2019-02-01,501.561
2019-03-01,504.067
2019-04-01,504.551
2019-05-01,505.462
2019-06-01,510.146
2019-07-01,515.152
2019-08-01,516.142
2019-09-01,517.365
2019-10-01,518.374
2019-11-01,518.443
2019-12-01,519.528
2020-01-01,523.628
2020-02-01,529.911
2020-03-01,530.628
2020-04-01,531.356
2020-05-01,531.938
2020-06-01,536.188
2020-07-01,539.187
2020-08-01,539.804
2020-09-01,536.138
2020-10-01,535.668
