"Date","APU0400FF1101"
2006-01-01,3.605
2006-02-01,3.897
2006-03-01,3.903
2006-04-01,3.698
2006-05-01,3.569
2006-06-01,3.602
2006-07-01,3.641
2006-08-01,3.703
2006-09-01,3.764
2006-10-01,3.662
2006-11-01,3.666
2006-12-01,3.584
2007-01-01,3.575
2007-02-01,3.582
2007-03-01,3.772
2007-04-01,3.713
2007-05-01,3.856
2007-06-01,3.761
2007-07-01,3.638
2007-08-01,3.819
2007-09-01,3.721
2007-10-01,3.733
2007-11-01,3.783
2007-12-01,3.626
2008-01-01,3.574
2008-02-01,3.746
2008-03-01,3.543
2008-04-01,3.767
2008-05-01,3.571
2008-06-01,3.541
2008-07-01,3.496
2008-08-01,3.327
2008-09-01,3.26
2008-10-01,3.414
2008-11-01,3.349
2008-12-01,3.451
2009-01-01,3.299
2009-02-01,3.273
2009-03-01,3.516
2009-04-01,3.376
2009-05-01,3.153
2009-06-01,3.24
2009-07-01,3.157
2009-08-01,3.173
2009-09-01,3.209
2009-10-01,3.247
2009-11-01,3.126
2009-12-01,3.23
2010-01-01,3.225
2010-02-01,3.165
2010-03-01,3.015
2010-04-01,2.967
2010-05-01,2.936
2010-06-01,2.995
2010-07-01,2.911
2010-08-01,2.998
2010-09-01,2.987
2010-10-01,3.031
2010-11-01,3.129
2010-12-01,3.101
2011-01-01,3.152
2011-02-01,3.154
2011-03-01,3.094
2011-04-01,3.18
2011-05-01,3.187
2011-06-01,3.166
2011-07-01,3.066
2011-08-01,3.083
2011-09-01,3.15
2011-10-01,2.971
2011-11-01,2.996
2011-12-01,2.976
2012-01-01,3.024
2012-02-01,2.98
2012-03-01,3.111
2012-04-01,3.103
2012-05-01,3.099
2012-06-01,3.148
2012-07-01,3.222
2012-08-01,3.315
2012-09-01,3.126
2012-10-01,3.315
2012-11-01,3.424
2012-12-01,3.376
2013-01-01,3.408
2013-02-01,3.348
2013-03-01,3.346
2013-04-01,3.372
2013-05-01,3.6
2013-06-01,3.448
2013-07-01,3.494
2013-08-01,3.815
2013-09-01,3.773
2013-10-01,3.68
2013-11-01,3.451
2013-12-01,3.415
2014-01-01,3.348
2014-02-01,3.289
2014-03-01,3.297
2014-04-01,3.206
2014-05-01,3.304
2014-06-01,3.467
2014-07-01,3.332
2014-08-01,3.466
2014-09-01,3.389
2014-10-01,3.393
2014-11-01,3.449
2014-12-01,3.483
2015-01-01,3.401
2015-02-01,3.356
2015-03-01,3.63
2015-04-01,3.47
2015-05-01,3.386
2015-06-01,3.365
2015-07-01,3.377
2015-08-01,3.362
2015-09-01,3.446
2015-10-01,3.214
2015-11-01,3.36
2015-12-01,3.341
2016-01-01,3.243
2016-02-01,3.34
2016-03-01,3.363
2016-04-01,3.27
2016-05-01,3.271
2016-06-01,3.304
2016-07-01,3.264
2016-08-01,3.375
2016-09-01,3.448
2016-10-01,3.525
2016-11-01,3.469
2016-12-01,3.279
2017-01-01,3.138
2017-02-01,3.136
2017-03-01,3.219
2017-04-01,3.24
2017-05-01,3.289
2017-06-01,3.412
2017-07-01,3.253
2017-08-01,3.246
2017-09-01,3.357
2017-10-01,3.216
2017-11-01,2.984
2017-12-01,3.091
2018-01-01,3.133
2018-02-01,3.09
2018-03-01,3.153
2018-04-01,3.367
2018-05-01,3.056
2018-06-01,3.073
2018-07-01,3.102
2018-08-01,3.117
2018-09-01,3.058
2018-10-01,3.133
2018-11-01,3.111
2018-12-01,3.157
2019-01-01,3.084
2019-02-01,3.072
2019-03-01,3.117
2019-04-01,3.173
2019-05-01,3.138
2019-06-01,3.137
2019-07-01,3.184
2019-08-01,3.235
2019-09-01,3.177
2019-10-01,3.299
2019-11-01,3.285
2019-12-01,3.314
2020-01-01,3.361
2020-02-01,3.282
2020-03-01,3.349
2020-04-01,NA
2020-05-01,NA
2020-06-01,3.442
2020-07-01,3.422
2020-08-01,3.485
2020-09-01,3.502
2020-10-01,3.472
2020-11-01,3.508
2020-12-01,3.545
2021-01-01,3.608
2021-02-01,3.679
2021-03-01,3.764
2021-04-01,3.709
2021-05-01,3.632
2021-06-01,3.469
2021-07-01,3.539
2021-08-01,3.619
2021-09-01,3.671
2021-10-01,3.73
2021-11-01,3.828
2021-12-01,4.362
2022-01-01,4.317
2022-02-01,4.409
2022-03-01,4.407
2022-04-01,4.454
2022-05-01,4.543
2022-06-01,4.999
2022-07-01,4.846
2022-08-01,4.938
2022-09-01,5.189
2022-10-01,5.124
2022-11-01,4.961
2022-12-01,4.824
2023-01-01,4.9
2023-02-01,4.92
2023-03-01,4.79
2023-04-01,5.008
2023-05-01,5.014
2023-06-01,5.008
2023-07-01,4.926
2023-08-01,5.033
2023-09-01,5.145
2023-10-01,5.064
2023-11-01,4.795
