"Date","CUURA422SA0L2"
1975-12-01,56.2
1976-01-01,NA
1976-02-01,NA
1976-03-01,56.6
1976-04-01,NA
1976-05-01,NA
1976-06-01,57.1
1976-07-01,NA
1976-08-01,NA
1976-09-01,58.1
1976-10-01,NA
1976-11-01,NA
1976-12-01,58.7
1977-01-01,NA
1977-02-01,NA
1977-03-01,60
1977-04-01,NA
1977-05-01,NA
1977-06-01,61.8
1977-07-01,NA
1977-08-01,NA
1977-09-01,62.8
1977-10-01,NA
1977-11-01,NA
1977-12-01,63.2
1978-01-01,NA
1978-02-01,63.8
1978-03-01,NA
1978-04-01,65.1
1978-05-01,NA
1978-06-01,66.4
1978-07-01,NA
1978-08-01,67.4
1978-09-01,NA
1978-10-01,68.7
1978-11-01,NA
1978-12-01,68.7
1979-01-01,NA
1979-02-01,69.9
1979-03-01,NA
1979-04-01,71.5
1979-05-01,NA
1979-06-01,73.2
1979-07-01,NA
1979-08-01,74.5
1979-09-01,NA
1979-10-01,75.7
1979-11-01,NA
1979-12-01,76.8
1980-01-01,NA
1980-02-01,79.1
1980-03-01,NA
1980-04-01,81.5
1980-05-01,NA
1980-06-01,83.3
1980-07-01,NA
1980-08-01,84.6
1980-09-01,NA
1980-10-01,85.4
1980-11-01,NA
1980-12-01,85.5
1981-01-01,NA
1981-02-01,86.9
1981-03-01,NA
1981-04-01,88.3
1981-05-01,NA
1981-06-01,89.7
1981-07-01,NA
1981-08-01,91
1981-09-01,NA
1981-10-01,92.1
1981-11-01,NA
1981-12-01,93.1
1982-01-01,NA
1982-02-01,94.7
1982-03-01,NA
1982-04-01,95.2
1982-05-01,NA
1982-06-01,97.3
1982-07-01,NA
1982-08-01,97.8
1982-09-01,NA
1982-10-01,98.6
1982-11-01,NA
1982-12-01,97.5
1983-01-01,NA
1983-02-01,97.5
1983-03-01,NA
1983-04-01,98.3
1983-05-01,NA
1983-06-01,99.7
1983-07-01,NA
1983-08-01,100
1983-09-01,NA
1983-10-01,99.8
1983-11-01,NA
1983-12-01,100.3
1984-01-01,NA
1984-02-01,101.9
1984-03-01,NA
1984-04-01,103.3
1984-05-01,NA
1984-06-01,104.1
1984-07-01,NA
1984-08-01,105.1
1984-09-01,NA
1984-10-01,106.5
1984-11-01,NA
1984-12-01,105.7
1985-01-01,NA
1985-02-01,106.6
1985-03-01,NA
1985-04-01,106.8
