"Date","CUURA319SEHC"
2008-11-01,214.19
2008-12-01,212.614
2009-01-01,212.826
2009-02-01,211.786
2009-03-01,213.226
2009-04-01,212.608
2009-05-01,212.476
2009-06-01,212.923
2009-07-01,212.28
2009-08-01,212.479
2009-09-01,210.977
2009-10-01,210.343
2009-11-01,209.526
2009-12-01,208.455
2010-01-01,209.481
2010-02-01,209.448
2010-03-01,210.715
2010-04-01,210.457
2010-05-01,210.098
2010-06-01,209.669
2010-07-01,207.501
2010-08-01,207.13
2010-09-01,207.4
2010-10-01,207.407
2010-11-01,207.458
2010-12-01,206.584
2011-01-01,206.523
2011-02-01,206.344
2011-03-01,204.995
2011-04-01,205.336
2011-05-01,204.604
2011-06-01,205.38
2011-07-01,204.494
2011-08-01,204.521
2011-09-01,204.091
2011-10-01,205.032
2011-11-01,205.862
2011-12-01,207.47
2012-01-01,209.472
2012-02-01,209.461
2012-03-01,209.646
2012-04-01,209.224
2012-05-01,209.146
2012-06-01,208.533
2012-07-01,206.222
2012-08-01,207.226
2012-09-01,206.947
2012-10-01,207.473
2012-11-01,208.165
2012-12-01,208.321
2013-01-01,209.72
2013-02-01,209.96
2013-03-01,210.462
2013-04-01,211.169
2013-05-01,210.938
2013-06-01,210.91
2013-07-01,211.435
2013-08-01,212.545
2013-09-01,213.432
2013-10-01,212.751
2013-11-01,214.64
2013-12-01,215.423
2014-01-01,216.283
2014-02-01,216.271
2014-03-01,216.47
2014-04-01,217.717
2014-05-01,218.29
2014-06-01,219.483
2014-07-01,219.527
2014-08-01,221.216
2014-09-01,221.567
2014-10-01,222.477
2014-11-01,222.616
2014-12-01,222.879
2015-01-01,223.777
2015-02-01,224.152
2015-03-01,224.67
2015-04-01,225.562
2015-05-01,226.82
2015-06-01,228.015
2015-07-01,228.682
2015-08-01,229.619
2015-09-01,230.35
2015-10-01,231.465
2015-11-01,232.361
2015-12-01,232.392
2016-01-01,233.067
2016-02-01,233.252
2016-03-01,233.26
2016-04-01,233.92
2016-05-01,234.782
2016-06-01,235.663
2016-07-01,236.939
2016-08-01,238.676
2016-09-01,240.654
2016-10-01,241.585
2016-11-01,242.985
2016-12-01,243.571
2017-01-01,245.005
2017-02-01,246.556
2017-03-01,248.061
2017-04-01,249.461
2017-05-01,250.226
2017-06-01,252.585
2017-07-01,253.295
2017-08-01,254.17
2017-09-01,254.887
2017-10-01,255.11
2017-11-01,256.337
2017-12-01,257.708
2018-01-01,258.779
2018-02-01,259.31
2018-03-01,259.442
2018-04-01,259.271
2018-05-01,259.395
2018-06-01,259.462
2018-07-01,260.384
2018-08-01,261.19
2018-09-01,262.472
2018-10-01,264.185
2018-11-01,266.277
2018-12-01,267.027
2019-01-01,267.032
2019-02-01,268.471
2019-03-01,269.327
2019-04-01,270.305
2019-05-01,272.116
2019-06-01,272.675
2019-07-01,273.929
2019-08-01,274.249
2019-09-01,275.375
2019-10-01,276.975
2019-11-01,277.504
2019-12-01,279.431
2020-01-01,280.575
2020-02-01,280.802
2020-03-01,281.181
2020-04-01,280.676
2020-05-01,280.584
2020-06-01,281.515
2020-07-01,281.023
2020-08-01,281.97
2020-09-01,283.366
2020-10-01,284.755
2020-11-01,285.98
2020-12-01,286.507
2021-01-01,287.79
2021-02-01,288.956
2021-03-01,289.221
2021-04-01,290.059
2021-05-01,290.723
2021-06-01,292.493
2021-07-01,294.108
2021-08-01,296.338
2021-09-01,300.328
2021-10-01,302.748
2021-11-01,304.988
2021-12-01,307.958
2022-01-01,311.288
2022-02-01,314.173
2022-03-01,316.178
2022-04-01,319.701
2022-05-01,324.644
2022-06-01,327.845
2022-07-01,332.303
2022-08-01,338.028
2022-09-01,342.476
2022-10-01,345.276
2022-11-01,346.926
2022-12-01,348.495
2023-01-01,350.176
2023-02-01,352.116
2023-03-01,353.366
2023-04-01,356.165
2023-05-01,359.423
2023-06-01,361.551
2023-07-01,365.031
2023-08-01,365.589
2023-09-01,366.876
2023-10-01,367.876
2023-11-01,368.915
