"Date","APUS49A7471A"
1978-01-01,0.652
1978-02-01,0.653
1978-03-01,0.654
1978-04-01,0.655
1978-05-01,0.67
1978-06-01,0.681
1978-07-01,0.692
1978-08-01,0.701
1978-09-01,0.705
1978-10-01,0.706
1978-11-01,0.709
1978-12-01,0.714
1979-01-01,0.717
1979-02-01,0.729
1979-03-01,0.765
1979-04-01,0.845
1979-05-01,0.904
1979-06-01,0.946
1979-07-01,0.978
1979-08-01,1.019
1979-09-01,1.054
1979-10-01,1.051
1979-11-01,1.054
1979-12-01,1.077
1980-01-01,1.147
1980-02-01,1.238
1980-03-01,1.281
1980-04-01,1.289
1980-05-01,1.279
1980-06-01,1.27
1980-07-01,1.274
1980-08-01,1.278
1980-09-01,1.27
1980-10-01,1.261
1980-11-01,1.261
1980-12-01,1.262
1981-01-01,1.283
1981-02-01,1.35
1981-03-01,1.38
1981-04-01,1.382
1981-05-01,1.388
1981-06-01,1.395
1981-07-01,1.401
1981-08-01,1.401
1981-09-01,1.416
1981-10-01,1.414
1981-11-01,1.411
1981-12-01,1.398
1982-01-01,1.4
1982-02-01,1.362
1982-03-01,1.313
1982-04-01,1.285
1982-05-01,1.293
1982-06-01,1.306
1982-07-01,1.341
1982-08-01,1.342
1982-09-01,1.307
1982-10-01,1.28
1982-11-01,1.254
1982-12-01,1.196
1983-01-01,1.165
1983-02-01,1.121
1983-03-01,1.092
1983-04-01,1.161
1983-05-01,1.235
1983-06-01,1.292
1983-07-01,1.314
1983-08-01,1.285
1983-09-01,1.222
1983-10-01,1.161
1983-11-01,1.148
1983-12-01,1.199
1984-01-01,1.195
1984-02-01,1.153
1984-03-01,1.159
1984-04-01,1.218
1984-05-01,1.256
1984-06-01,1.225
1984-07-01,1.15
1984-08-01,1.13
1984-09-01,1.154
1984-10-01,1.211
1984-11-01,1.215
1984-12-01,1.198
1985-01-01,1.155
1985-02-01,1.135
1985-03-01,1.182
1985-04-01,1.252
1985-05-01,1.272
1985-06-01,1.266
1985-07-01,1.239
1985-08-01,1.187
1985-09-01,1.164
1985-10-01,1.16
1985-11-01,1.145
1985-12-01,1.175
1986-01-01,1.173
1986-02-01,1.109
1986-03-01,1.025
1986-04-01,1.002
1986-05-01,1.031
1986-06-01,1.041
1986-07-01,0.952
1986-08-01,0.888
1986-09-01,0.896
1986-10-01,0.851
1986-11-01,0.822
1986-12-01,0.814
1987-01-01,0.838
1987-02-01,0.944
1987-03-01,0.968
1987-04-01,0.985
1987-05-01,0.989
1987-06-01,0.974
1987-07-01,0.945
1987-08-01,0.953
1987-09-01,0.946
1987-10-01,0.937
1987-11-01,0.929
1987-12-01,0.908
1988-01-01,0.893
1988-02-01,0.86
1988-03-01,0.863
1988-04-01,0.935
1988-05-01,0.966
1988-06-01,0.971
1988-07-01,0.977
1988-08-01,0.977
1988-09-01,0.976
1988-10-01,0.955
1988-11-01,0.925
1988-12-01,0.893
1989-01-01,0.864
1989-02-01,0.881
1989-03-01,0.945
1989-04-01,1.152
1989-05-01,1.167
1989-06-01,1.153
1989-07-01,1.111
1989-08-01,1.048
1989-09-01,0.983
1989-10-01,0.97
1989-11-01,0.93
1989-12-01,0.918
1990-01-01,0.957
1990-02-01,0.988
1990-03-01,1.014
1990-04-01,1.03
1990-05-01,1.08
1990-06-01,1.103
1990-07-01,1.133
1990-08-01,1.282
1990-09-01,1.346
1990-10-01,1.416
1990-11-01,1.421
1990-12-01,1.407
1991-01-01,1.26
1991-02-01,1.108
1991-03-01,1.012
1991-04-01,1.066
1991-05-01,1.17
1991-06-01,1.173
1991-07-01,1.126
1991-08-01,1.143
1991-09-01,1.177
1991-10-01,1.164
1991-11-01,1.157
1991-12-01,1.169
1992-01-01,1.172
1992-02-01,1.199
1992-03-01,1.215
1992-04-01,1.242
1992-05-01,1.314
1992-06-01,1.374
1992-07-01,1.393
1992-08-01,1.385
1992-09-01,1.381
1992-10-01,1.383
1992-11-01,1.414
1992-12-01,1.4
1993-01-01,1.394
1993-02-01,1.395
1993-03-01,1.383
1993-04-01,1.349
1993-05-01,1.336
1993-06-01,1.332
1993-07-01,1.3
1993-08-01,1.27
1993-09-01,1.274
1993-10-01,1.305
1993-11-01,1.281
1993-12-01,1.233
1994-01-01,1.204
1994-02-01,1.201
1994-03-01,1.215
1994-04-01,1.236
1994-05-01,1.251
1994-06-01,1.284
1994-07-01,1.306
1994-08-01,1.317
1994-09-01,1.314
1994-10-01,1.346
1994-11-01,1.351
1994-12-01,1.343
1995-01-01,1.352
1995-02-01,1.336
1995-03-01,1.323
1995-04-01,1.328
1995-05-01,1.347
1995-06-01,1.349
1995-07-01,1.315
1995-08-01,1.282
1995-09-01,1.253
1995-10-01,1.245
1995-11-01,1.242
1995-12-01,1.227
1996-01-01,1.237
1996-02-01,1.25
1996-03-01,1.299
1996-04-01,1.437
1996-05-01,1.599
1996-06-01,1.547
1996-07-01,1.491
1996-08-01,1.389
1996-09-01,1.328
1996-10-01,1.273
1996-11-01,1.213
1996-12-01,1.258
1997-01-01,1.307
1997-02-01,1.325
1997-03-01,1.388
1997-04-01,1.446
1997-05-01,1.427
1997-06-01,1.392
1997-07-01,1.353
1997-08-01,1.444
1997-09-01,1.534
1997-10-01,1.503
1997-11-01,1.449
1997-12-01,1.394
1998-01-01,1.306
1998-02-01,1.189
1998-03-01,1.106
1998-04-01,1.165
1998-05-01,1.292
1998-06-01,1.272
1998-07-01,1.249
1998-08-01,1.225
1998-09-01,1.219
1998-10-01,1.224
1998-11-01,1.222
1998-12-01,1.233
1999-01-01,1.23
1999-02-01,1.223
1999-03-01,1.273
1999-04-01,1.61
1999-05-01,1.53
1999-06-01,1.394
1999-07-01,1.411
1999-08-01,1.502
1999-09-01,1.443
1999-10-01,1.396
1999-11-01,1.38
1999-12-01,1.429
2000-01-01,1.389
2000-02-01,1.468
2000-03-01,1.78
2000-04-01,1.78
2000-05-01,1.688
2000-06-01,1.665
2000-07-01,1.731
2000-08-01,1.659
2000-09-01,1.803
2000-10-01,1.817
2000-11-01,1.773
2000-12-01,1.678
2001-01-01,1.609
2001-02-01,1.666
2001-03-01,1.708
2001-04-01,1.826
2001-05-01,2.067
2001-06-01,2.049
2001-07-01,1.896
2001-08-01,1.65
2001-09-01,1.67
2001-10-01,1.529
2001-11-01,1.347
2001-12-01,1.158
2002-01-01,1.237
2002-02-01,1.383
2002-03-01,1.585
2002-04-01,1.693
2002-05-01,1.657
2002-06-01,1.658
2002-07-01,1.673
2002-08-01,1.684
2002-09-01,1.677
2002-10-01,1.619
2002-11-01,1.666
2002-12-01,1.613
2003-01-01,1.693
2003-02-01,1.878
2003-03-01,2.165
2003-04-01,2.122
2003-05-01,1.879
2003-06-01,1.766
2003-07-01,1.737
2003-08-01,1.917
2003-09-01,2.083
2003-10-01,1.889
2003-11-01,1.757
2003-12-01,1.715
2004-01-01,1.768
2004-02-01,1.985
2004-03-01,2.199
2004-04-01,2.226
2004-05-01,2.337
2004-06-01,2.355
2004-07-01,2.232
2004-08-01,2.119
2004-09-01,2.127
2004-10-01,2.423
2004-11-01,2.379
2004-12-01,2.168
2005-01-01,2.011
2005-02-01,2.168
2005-03-01,2.387
2005-04-01,2.633
2005-05-01,2.544
2005-06-01,2.422
2005-07-01,2.589
2005-08-01,2.765
2005-09-01,2.993
2005-10-01,2.941
2005-11-01,2.619
2005-12-01,2.326
2006-01-01,2.454
2006-02-01,2.585
2006-03-01,2.664
2006-04-01,2.998
2006-05-01,3.405
2006-06-01,3.295
2006-07-01,3.3
2006-08-01,3.24
2006-09-01,2.943
2006-10-01,2.576
2006-11-01,2.474
2006-12-01,2.559
2007-01-01,2.578
2007-02-01,2.655
